# Docker 镜像仓库列表
# 格式: 镜像地址|描述
# 使用时请根据网络环境选择合适的镜像源

# 国内镜像源
docker.1ms.run|毫秒镜像 - 专为中国开发者提供
dockerproxy.net|DockerProxy
docker.m.daocloud.io|DaoCloud 镜像
docker.1panel.live|1Panel 镜像
hub.rat.dev|Rat.dev 镜像

# 阿里云镜像仓库 (需要登录获取专属加速地址)
registry.cn-hangzhou.aliyuncs.com|阿里云-杭州
registry.cn-shanghai.aliyuncs.com|阿里云-上海
registry.cn-qingdao.aliyuncs.com|阿里云-青岛
registry.cn-beijing.aliyuncs.com|阿里云-北京
registry.cn-zhangjiakou.aliyuncs.com|阿里云-张家口
registry.cn-huhehaote.aliyuncs.com|阿里云-呼和浩特
registry.cn-wulanchabu.aliyuncs.com|阿里云-乌兰察布
registry.cn-shenzhen.aliyuncs.com|阿里云-深圳
registry.cn-heyuan.aliyuncs.com|阿里云-河源
registry.cn-guangzhou.aliyuncs.com|阿里云-广州
registry.cn-chengdu.aliyuncs.com|阿里云-成都
registry.cn-hongkong.aliyuncs.com|阿里云-香港

# 腾讯云镜像仓库
mirror.ccs.tencentyun.com|腾讯云镜像

# 官方镜像源 (国内访问可能较慢)
registry.hub.docker.com|Docker Hub 官方
