# Linux软件源列表
# 来源: GitHub项目分析
# 格式: 地址|描述|适用系统




mirrors.nju.edu.cn|南京大学镜像|all
mirrors.bfsu.edu.cn|北京外国语大学镜像|all
mirrors.cernet.edu.cn|中国教育和科研计算机网镜像|all
mirrors.nwafu.edu.cn|西北农林科技大学镜像|all
mirror.lzu.edu.cn|兰州大学镜像|all
mirrors.sustech.edu.cn|南方科技大学镜像|all
mirrors.cmecloud.cn|中国移动镜像|all
mirrors.jlu.edu.cn|吉林大学镜像|all
mirrors.hit.edu.cn|哈尔滨工业大学镜像|all
mirrors.pku.edu.cn|北京大学镜像|all
mirrors.xtom.de|德国XTOM镜像|all
mirrors.tuna.tsinghua.edu.cn|清华大学镜像|all
mirrors.qlu.edu.cn|齐鲁工业大学镜像|all
mirrors.jcut.edu.cn|荆楚理工学院镜像|all
mirror.sjtu.edu.cn|上海交通大学镜像|all
mirror.nyist.edu.cn|南阳理工学院镜像|all
ftp.udx.icscoe.jp/Linux|日本镜像|all
mirror.01link.hk|香港01link镜像|all
mirrors.dotsrc.org|丹麦DotSrc镜像|all
mirrors.xtom.nl|荷兰XTOM镜像|all
mirror.accum.se|瑞典Accum镜像|all
mirrors.ocf.berkeley.edu|伯克利大学镜像|all
ftp.lysator.liu.se|瑞典Lysator镜像|all
mirrors.gbnetwork.com|GBNetwork镜像|all
mirror.yandex.ru|俄罗斯Yandex镜像|all
mirrors.huaweicloud.com|华为云镜像|all
mirror.sg.gs|新加坡镜像|all
mirrors.ustc.edu.cn|中国科学技术大学镜像|all
mirror.truenetwork.ru|俄罗斯TrueNetwork镜像|all

