# pip 镜像源列表
# 格式: 镜像地址|描述|信任主机



repo.huaweicloud.com/repository/pypi/simple|华为云镜像|repo.huaweicloud.com
mirrors.bfsu.edu.cn/pypi/web/simple|北京外国语大学镜像|mirrors.bfsu.edu.cn
mirrors.huaweicloud.com/repository/pypi/simple|华为云镜像(备用)|mirrors.huaweicloud.com
mirrors.sustech.edu.cn/pypi/web/simple|南方科技大学镜像|mirrors.sustech.edu.cn
mirrors.cloud.tencent.com/pypi/simple|腾讯云镜像|mirrors.cloud.tencent.com
pypi.doubanio.com/simple|豆瓣镜像|pypi.doubanio.com
pypi.tuna.tsinghua.edu.cn/simple|清华大学镜像|pypi.tuna.tsinghua.edu.cn
mirrors.westlake.edu.cn/pypi/simple|西湖大学镜像|mirrors.westlake.edu.cn
download.pytorch.org/whl|PyTorch官方下载源|download.pytorch.org
mirrors.ustc.edu.cn/pypi/simple|中国科学技术大学镜像|mirrors.ustc.edu.cn
pypi.org/simple|PyPI官方源(国际)|pypi.org
